0,8500
1,671
2,1792
3,5208
4,8634
5,28
6,3425
7,6769
8,8723
9,3179
10,3791
11,6359
12,2201
13,5766
14,1604
15,9669
16,5629
17,9841
18,8196
19,3483
20,9733
21,7136
22,2918
23,2912
24,9150
25,7447
26,5035
27,9760
28,1654
29,10
30,8986
31,9316
32,7273
33,576
34,1033
35,4662
36,3802
37,7916
38,4371
39,2177
40,8210
41,1235
42,9006
43,6856
44,8800
45,1156
46,4463
47,8213
48,8702
49,9781
50,8743
51,336
52,9851
53,7387
54,2944
55,1634
56,4158
57,2928
58,6930
59,8293
60,1295
61,2204
62,322
63,421
64,474
65,4553
66,5710
67,5767
68,6147
69,3563
70,6723
71,1483
72,6625
73,4513
74,2843
75,6031
76,1949
77,6877
78,469
79,5539
80,3047
81,2015
82,2577
83,1294
84,6536
85,1186
86,165
87,9631
88,4665
89,1562
90,3365
91,1126
92,6520
93,7313
94,2410
95,6676
96,1834
97,1446
98,6673
99,7033
100,5759
101,2073
102,343
103,2337
104,7381
105,3197
106,7880
107,2430
108,9671
109,1369
110,1686
111,3963
112,5349
113,4876
114,3115
115,7792
116,4170
117,2287
118,5850
119,7467
120,4795
121,6824
122,8202
123,1779
124,3258
125,2116
126,5232
127,8572
128,4748
129,6654
130,8905
131,6054
132,7532
133,8963
134,906
135,2206
136,575
137,3745
138,3744
139,4230
140,9644
141,8191
142,4047
143,5998
144,240
145,6303
146,4874
147,2851
148,3599
149,1019
150,6878
151,1820
152,6399
153,2417
154,6810
155,1443
156,1195
157,1023
158,3243
159,9099
160,6395
161,1020
162,5404
163,331
164,2104
165,9179
166,3037
167,5971
168,8360
169,7432
170,2787
171,4567
172,5041
173,3263
174,9431
175,8996
176,5140
177,8700
178,6836
179,6858
180,9073
181,493
182,1028
183,7127
184,334
185,7274
186,2950
187,705
188,8399
189,1720
190,928
191,1181
192,5588
193,5224
194,7316
195,4689
196,4607
197,6891
198,5516
199,6757
200,1315
201,2225
202,2399
203,2700
204,3433
205,3574
206,6724
207,5467
208,3502
209,177
210,6241
211,7365
212,9523
213,7392
214,5528
215,2721
216,1970
217,4459
218,3468
219,9528
220,2004
221,1678
222,920
223,6712
224,184
225,810
226,1314
227,1693
228,3415
229,7867
230,8793
231,2884
232,7704
233,8367
234,9011
235,8465
236,5837
237,1409
238,2012
239,5907
240,5639
241,3145
242,1230
243,1093
244,8556
245,6876
246,4121
247,1986
248,7743
249,7096
250,8531
251,2677
252,3259
253,7245
254,4075
255,7543
256,404
257,4128
258,2309
259,6006
260,9383
261,3336
262,2027
263,2581
264,7772
265,4872
266,1855
267,5805
268,6847
269,1983
270,4135
271,3446
272,9198
273,58
274,3220
275,9900
276,7950
277,2372
278,2008
279,181
280,1078
281,7927
282,6532
283,7002
284,101
285,3562
286,7159
287,1275
288,6137
289,3794
290,1972
291,3284
292,1327
293,1732
294,7340
295,6493
296,9705
297,8977
298,8248
299,6433
300,6973
